Apellidos	Bodega	Código	Nombre del artículo	Línea	No. de parte	Unidad	Cantidad disponible	Precio	Proveedor	Detalles del artículo
0548077	05	48077	"MACHO RECTO 1/4""X1/4"" NPT"	VARIOS		CU	0	660	HIDROCA	
0548081	05	48081	COMPRESOR CAMPBELL 1.5HP/8GL HX5100	VARIOS		CU	0	102050	COFERSA	
0548084	05	48084	DISCO SIERRA BOSCH 7-1/4-24 DIENTES	VARIOS		CU	0	6385	COFERSA	
0548087	05	48087	TALADRO DEWALT DWD014 3/8 550W	VARIOS		CU	0	40950	ALMACENES UNIDOS	
0548089	05	48089	"DISCO DEWALT DW3128 12""-80 DIENTES"	VARIOS		CU	0	23780	ALMACENES UNIDOS	
0548090	05	48090	TALADRO INALAMB DEWALT DCD985M2 18V	VARIOS		CU	0	260000	ALMACENES UNIDOS	
0548091	05	48091	"TALADRO INALAMB DEWALT DCD780C2 1/2"""	VARIOS		CU	0	185505	ALMACENES UNIDOS	
0548092	05	48092	ROMANA PLATAFORMA 30KG/PRW-30K	VARIOS		CU	0	195000	OCONY	
0548095	05	48095	ANALIZADOR P/CABLEADO TECPEL CT-581	VARIOS		CU	0	67600	INV	
0548096	05	48096	"TALADRO/DESTORNILLADOR METABO BS-18 1/2"""	VARIOS		CU	0	157665	CAPRIS	
0548097	05	48097	LIJADORA METABO TUBOTEC SRE-4351	VARIOS		CU	0	149400	CAPRIS	
0548098	05	48098	"SIERRA INGLETE MILWAUKEE 12"" 695520"	VARIOS		CU	0	546000	TORCASA	
0548099	05	48099	AMPERIMETRO GANCHO AC/DC FLUKE-376	VARIOS		CU	0	297885	ELVATRON	
0549001	05	49001	"TALADRO DEWALT INALAMB DCD780C2 1/2"""	VARIOS		CU	0	301395	ALMACENES UNIDOS	
0549003	05	49003	PLACA ALUMINIO 0.10X0.15CM	VARIOS		CU	0	9780	FAB NAC TROFEOS	
0549004	05	49004	CONSTRUCCION DE EJE ACERO 1020	VARIOS		CU	0	163821	PRECISION TOTAL	
0549009	05	49009	SIERRA CIRCULAR BOSCH 7-1/4 GKS-67	VARIOS		CU	0	103740	COFERSA	
